uid,category,bucket,download_ok,name,ok_load,watertight,body_count,orig_extents_mm,min_width_raw_mm,suggested_scale,min_width_scaled_mm,max_extent_scaled_mm,thin_axis_scaled_mm,verdict,reason,error,local_path
591fa396a54f4941bf50b451b99a6de4,apple,compact_blobby,True,apple/591fa396,True,False,1581,"[1355.2, 1808.6, 1314.4]",,,,,,reject,,TimeoutError: load+analyze exceeded 25s,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-092/591fa396a54f4941bf50b451b99a6de4.glb
152ca55383b2491e816f5ed5ac127677,apple,compact_blobby,True,apple/152ca553,True,False,26,"[20263.2, 17529.0, 20166.6]",17236.73,0.0023,40.0,47.0,40.4,accept,"min-width 40.0mm, max-extent 47.0mm, thin-axis 40.4mm at scale 0.002",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-002/152ca55383b2491e816f5ed5ac127677.glb
4bc699f995844d3394389e8ca8c64794,apple,compact_blobby,True,apple/4bc699f9,True,False,266,"[90.1, 82.1, 88.6]",81.41,0.4913,40.0,44.3,43.0,accept,"min-width 40.0mm, max-extent 44.3mm, thin-axis 43.0mm at scale 0.491",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-053/4bc699f995844d3394389e8ca8c64794.glb
9d1ad8b8512040f5a200bc3f72577d8a,avocado,compact_blobby,True,avocado/9d1ad8b8,True,False,8199,"[39242.1, 33098.6, 36709.7]",23205.85,0.0017,40.0,67.6,48.1,accept,"min-width 40.0mm, max-extent 67.6mm, thin-axis 48.1mm at scale 0.002",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-115/9d1ad8b8512040f5a200bc3f72577d8a.glb
52bde7061ab94d8ea04e9f7c3141d433,avocado,compact_blobby,True,avocado/52bde706,True,False,6,"[10323.4, 15776.4, 10179.7]",9956.27,0.004,40.0,63.4,40.8,accept,"min-width 40.0mm, max-extent 63.4mm, thin-axis 40.8mm at scale 0.004",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-081/52bde7061ab94d8ea04e9f7c3141d433.glb
c8b416221569445382a3a0f3bcc792ec,avocado,compact_blobby,True,avocado/c8b41622,True,False,17,"[134941.0, 294442.8, 328437.6]",132558.17,0.0003,40.0,99.1,40.8,accept,"min-width 40.0mm, max-extent 99.1mm, thin-axis 40.8mm at scale 0.000",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-095/c8b416221569445382a3a0f3bcc792ec.glb
b9c654a534e1436ebabb541042bf5fe8,orange_(fruit),compact_blobby,True,orange_(fruit)/b9c654a5,True,False,45,"[218.2, 156.9, 218.8]",156.4,0.2558,40.0,56.0,40.8,accept,"min-width 40.0mm, max-extent 56.0mm, thin-axis 40.8mm at scale 0.256",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-055/b9c654a534e1436ebabb541042bf5fe8.glb
79af8a0bff0f48e7a5fe6932157f8052,orange_(fruit),compact_blobby,True,orange_(fruit)/79af8a0b,True,False,27,"[3125.7, 3136.8, 3190.3]",2740.85,0.0146,40.0,46.6,46.0,accept,"min-width 40.0mm, max-extent 46.6mm, thin-axis 46.0mm at scale 0.015",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-127/79af8a0bff0f48e7a5fe6932157f8052.glb
d86ab3f2c9934fb79bd82458fcd350a9,orange_(fruit),compact_blobby,True,orange_(fruit)/d86ab3f2,True,False,5,"[115.1, 114.4, 115.1]",114.03,0.3508,40.0,40.4,40.1,accept,"min-width 40.0mm, max-extent 40.4mm, thin-axis 40.1mm at scale 0.351",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-076/d86ab3f2c9934fb79bd82458fcd350a9.glb
a7f2673809bb43b4bcf3805c00b5ac5a,lemon,compact_blobby,True,lemon/a7f26738,True,False,342,"[5534.7, 5221.4, 5380.1]",,,,,,reject,,TimeoutError: load+analyze exceeded 25s,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-044/a7f2673809bb43b4bcf3805c00b5ac5a.glb
92ed1dee5a3149cc92a862795b87ead4,lemon,compact_blobby,True,lemon/92ed1dee,True,False,12,"[2596.1, 3747.5, 2598.3]",2582.46,0.0155,40.0,58.0,40.2,accept,"min-width 40.0mm, max-extent 58.0mm, thin-axis 40.2mm at scale 0.015",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-073/92ed1dee5a3149cc92a862795b87ead4.glb
bc47e4a25779449c8653c41c96772cd3,lemon,compact_blobby,True,lemon/bc47e4a2,True,False,170,,,,,,,reject,,split() returned no usable parts,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-024/bc47e4a25779449c8653c41c96772cd3.glb
4e5abbedbb6642cab07f8948fc1acbbe,lime,compact_blobby,True,,,,,,,,,,,reject,,skipped: 105MB > 20MB cap,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-039/4e5abbedbb6642cab07f8948fc1acbbe.glb
a79089ec4f9b46f1ab25d04041da42e7,lime,compact_blobby,True,lime/a79089ec,True,False,40,,,,,,,reject,,split() returned no usable parts,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-088/a79089ec4f9b46f1ab25d04041da42e7.glb
929a503b845d42918d1fbc372dbf33d0,lime,compact_blobby,True,lime/929a503b,True,False,5,"[78.8, 119.7, 2.5]",2.48,7.2544,18.0,868.4,19.8,borderline,"flat/disk-like: thin axis 19.8mm == grasp axis; DR tumbling (pitch/roll +-45deg, 25% flips) may still present a graspable pose, manual call",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-046/929a503b845d42918d1fbc372dbf33d0.glb
678c310aa4cf445889e96e3298218bfb,peach,compact_blobby,True,peach/678c310a,True,False,4,"[47.6, 45.5, 48.4]",42.69,0.937,40.0,45.4,42.8,accept,"min-width 40.0mm, max-extent 45.4mm, thin-axis 42.8mm at scale 0.937",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-031/678c310aa4cf445889e96e3298218bfb.glb
a044ea148b064d22930b4f62f91df7aa,peach,compact_blobby,True,peach/a044ea14,True,False,6,"[76339.9, 71758.3, 82135.9]",71357.77,0.0006,40.0,46.0,42.7,accept,"min-width 40.0mm, max-extent 46.0mm, thin-axis 42.7mm at scale 0.001",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-056/a044ea148b064d22930b4f62f91df7aa.glb
6b5aa037654c44eeb205543ea6486ed0,peach,compact_blobby,True,peach/6b5aa037,True,False,87,"[19686.0, 17701.1, 18455.8]",17106.48,0.0023,40.0,46.0,41.6,accept,"min-width 40.0mm, max-extent 46.0mm, thin-axis 41.6mm at scale 0.002",,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-155/6b5aa037654c44eeb205543ea6486ed0.glb
a3ad6dbbcef04d4b92953695a2aec219,pear,compact_blobby,True,pear/a3ad6dbb,True,False,529,"[21267.6, 17404.3, 21910.2]",,,,,,reject,,TimeoutError: load+analyze exceeded 25s,/home/yifeid/git/gentle_manip/dataset/object_expansion/objaverse_cache/hf-objaverse-v1/glbs/000-004/a3ad6dbbcef04d4b92953695a2aec219.glb
